Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
15C,0000,15D,0100,15C,0000,7FF,05B2,0000,084,0100,15C,0000
15D,0000,15E,0100,15D,0000,7FF,05B2,0000,084,0100,15D,0000
15E,0000,15F,0100,15E,0000,7FF,05B2,0000,084,0100,15E,0000
15F,0000,160,0100,15F,0000,7FF,05B2,0000,084,0100,15F,0000
160,0000,161,0100,160,0000,7FF,05B2,0000,084,0100,160,0000
161,0000,162,0100,161,0000,7FF,05B2,0000,084,0100,161,0000
162,0000,163,0100,162,0000,7FF,05B2,0000,084,0100,162,0000
163,0000,164,0100,163,0000,7FF,05B2,0000,084,0100,163,0000
164,0000,165,0100,164,0000,7FF,05B2,0000,084,0100,164,0000
165,0000,166,0100,165,0000,7FF,05B2,0000,084,0100,165,0000
166,0000,167,0100,166,0000,7FF,05B2,0000,084,0100,166,0000
167,0000,168,0100,167,0000,7FF,05B2,0000,084,0100,167,0000
168,0000,169,0100,168,0000,7FF,05B2,0000,084,0100,168,0000
169,0000,16A,0100,169,0000,7FF,05B2,0000,084,0100,169,0000
16A,0000,16B,0100,16A,0000,7FF,05B2,0000,084,0100,16A,0000
16B,0000,16C,0100,16B,0000,7FF,05B2,0000,084,0100,16B,0000
16C,0000,16D,0100,16C,0000,7FF,05B2,0000,084,0100,16C,0000
16D,0000,16E,0100,16D,0000,7FF,05B2,0000,084,0100,16D,0000
16E,0000,16F,0100,16E,0000,7FF,05B2,0000,084,0100,16E,0000
16F,0000,170,0100,16F,0000,7FF,05B2,0000,084,0100,16F,0000
170,0000,171,0100,170,0000,7FF,05B2,0000,084,0100,170,0000
171,0000,172,0100,171,0000,7FF,05B2,0000,084,0100,171,0000
172,0000,173,0100,172,0000,7FF,05B2,0000,084,0100,172,0000
173,0000,174,0100,173,0000,7FF,05B2,0000,084,0100,173,0000
174,0000,175,0100,174,0000,7FF,05B2,0000,084,0100,174,0000
175,0000,176,0100,175,0000,7FF,05B2,0000,084,0100,175,0000
176,0000,177,0100,176,0000,7FF,05B2,0000,084,0100,176,0000
177,0000,178,0100,177,0000,7FF,05B2,0000,084,0100,177,0000
178,0000,179,0100,178,0000,7FF,05B2,0000,084,0100,178,0000
179,0000,17A,0100,179,0000,7FF,05B2,0000,084,0100,179,0000
17A,0000,17B,0100,17A,0000,7FF,05B2,0000,084,0100,17A,0000
17B,0000,17C,0100,17B,0000,7FF,05B2,0000,084,0100,17B,0000
17C,0000,17D,0100,17C,0000,7FF,05B2,0000,084,0100,17C,0000
17D,0000,17E,0100,17D,0000,7FF,05B2,0000,084,0100,17D,0000
17E,0000,17F,0100,17E,0000,7FF,05B2,0000,084,0100,17E,0000
17F,0000,180,0100,17F,0000,7FF,05B2,0000,084,0100,17F,0000
180,0000,181,0100,180,0000,7FF,05B2,0000,084,0100,180,0000
181,0000,182,0100,181,0000,7FF,05B2,0000,084,0100,181,0000
182,0000,183,0100,182,0000,7FF,05B2,0000,084,0100,182,0000
183,0000,184,0100,183,0000,7FF,05B2,0000,084,0100,183,0000
184,0000,185,0100,184,0000,7FF,05B2,0000,084,0100,184,0000
185,0000,186,0100,185,0000,7FF,05B2,0000,084,0100,185,0000
186,0000,187,0100,186,0000,7FF,05B2,0000,084,0100,186,0000
187,0000,188,0100,187,0000,7FF,05B2,0000,084,0100,187,0000
188,0000,189,0100,188,0000,7FF,05B2,0000,084,0100,188,0000
189,0000,18A,0100,189,0000,7FF,05B2,0000,084,0100,189,0000
18A,0000,18B,0100,18A,0000,7FF,05B2,0000,084,0100,18A,0000
18B,0000,18C,0100,18B,0000,7FF,05B2,0000,084,0100,18B,0000
18C,0000,18D,0100,18C,0000,7FF,05B2,0000,084,0100,18C,0000
18D,0000,18E,0100,18D,0000,7FF,05B2,0000,084,0100,18D,0000
18E,0000,18F,0100,18E,0000,7FF,05B2,0000,084,0100,18E,0000
18F,0000,190,0100,18F,0000,7FF,05B2,0000,084,0100,18F,0000
190,0000,191,0100,190,0000,7FF,05B2,0000,084,0100,190,0000
191,0000,192,0100,191,0000,7FF,05B2,0000,084,0100,191,0000
192,0000,193,0100,192,0000,7FF,05B2,0000,084,0100,192,0000
193,0000,194,0100,193,0000,7FF,05B2,0000,084,0100,193,0000
194,0000,195,0100,194,0000,7FF,05B2,0000,084,0100,194,0000
195,0000,196,0100,195,0000,7FF,05B2,0000,084,0100,195,0000
196,0000,197,0100,196,0000,7FF,05B2,0000,084,0100,196,0000
197,0000,198,0100,197,0000,7FF,05B2,0000,084,0100,197,0000
198,0000,199,0100,198,0000,7FF,05B2,0000,084,0100,198,0000
199,0000,19A,0100,199,0000,7FF,05B2,0000,084,0100,199,0000
19A,0000,19B,0100,19A,0000,7FF,05B2,0000,084,0100,19A,0000
19B,0000,19C,0100,19B,0000,7FF,05B2,0000,084,0100,19B,0000
19C,0000,19D,0100,19C,0000,7FF,05B2,0000,084,0100,19C,0000
19D,0000,19E,0100,19D,0000,7FF,05B2,0000,084,0100,19D,0000
19E,0000,19F,0100,19E,0000,7FF,05B2,0000,084,0100,19E,0000
19F,0000,1A0,0100,19F,0000,7FF,05B2,0000,084,0100,19F,0000
1A0,0000,1A1,0100,1A0,0000,7FF,05B2,0000,084,0100,1A0,0000
1A1,0000,1A2,0100,1A1,0000,7FF,05B2,0000,084,0100,1A1,0000
1A2,0000,1A3,0100,1A2,0000,7FF,05B2,0000,084,0100,1A2,0000
1A3,0000,1A4,0100,1A3,0000,7FF,05B2,0000,084,0100,1A3,0000
1A4,0000,1A5,0100,1A4,0000,7FF,05B2,0000,084,0100,1A4,0000
1A5,0000,1A6,0100,1A5,0000,7FF,05B2,0000,084,0100,1A5,0000
1A6,0000,1A7,0100,1A6,0000,7FF,05B2,0000,084,0100,1A6,0000
1A7,0000,1A8,0100,1A7,0000,7FF,05B2,0000,084,0100,1A7,0000
1A8,0000,1A9,0100,1A8,0000,7FF,05B2,0000,084,0100,1A8,0000
1A9,0000,1AA,0100,1A9,0000,7FF,05B2,0000,084,0100,1A9,0000
1AA,0000,1AB,0100,1AA,0000,7FF,05B2,0000,084,0100,1AA,0000
1AB,0000,1AC,0100,1AB,0000,7FF,05B2,0000,084,0100,1AB,0000
1AC,0000,1AD,0100,1AC,0000,7FF,05B2,0000,084,0100,1AC,0000
1AD,0000,1AE,0100,1AD,0000,7FF,05B2,0000,084,0100,1AD,0000
1AE,0000,1AF,0100,1AE,0000,7FF,05B2,0000,084,0100,1AE,0000
1AF,0000,1B0,0100,1AF,0000,7FF,05B2,0000,084,0100,1AF,0000
1B0,0000,1B1,0100,1B0,0000,7FF,05B2,0000,084,0100,1B0,0000
1B1,0000,1B2,0100,1B1,0000,7FF,05B2,0000,084,0100,1B1,0000
1B2,0000,1B3,0100,1B2,0000,7FF,05B2,0000,084,0100,1B2,0000
1B3,0000,1B4,0100,1B3,0000,7FF,05B2,0000,084,0100,1B3,0000
1B4,0000,1B5,0100,1B4,0000,7FF,05B2,0000,084,0100,1B4,0000
1B5,0000,1B6,0100,1B5,0000,7FF,05B2,0000,084,0100,1B5,0000
1B6,0000,1B7,0100,1B6,0000,7FF,05B2,0000,084,0100,1B6,0000
1B7,0000,1B8,0100,1B7,0000,7FF,05B2,0000,084,0100,1B7,0000
1B8,0000,1B9,0100,1B8,0000,7FF,05B2,0000,084,0100,1B8,0000
1B9,0000,1BA,0100,1B9,0000,7FF,05B2,0000,084,0100,1B9,0000
1BA,0000,1BB,0100,1BA,0000,7FF,05B2,0000,084,0100,1BA,0000
1BB,0000,1BC,0100,1BB,0000,7FF,05B2,0000,084,0100,1BB,0000
1BC,0000,1BD,0100,1BC,0000,7FF,05B2,0000,084,0100,1BC,0000
1BD,0000,1BE,0100,1BD,0000,7FF,05B2,0000,084,0100,1BD,0000
1BE,0000,1BF,0100,1BE,0000,7FF,05B2,0000,084,0100,1BE,0000
1BF,0000,1C0,0100,1BF,0000,7FF,05B2,0000,084,0100,1BF,0000
1C0,0000,1C1,0100,1C0,0000,7FF,05B2,0000,084,0100,1C0,0000
1C1,0000,1C2,0100,1C1,0000,7FF,05B2,0000,084,0100,1C1,0000
1C2,0000,1C3,0100,1C2,0000,7FF,05B2,0000,084,0100,1C2,0000
1C3,0000,1C4,0100,1C3,0000,7FF,05B2,0000,084,0100,1C3,0000
1C4,0000,1C5,0100,1C4,0000,7FF,05B2,0000,084,0100,1C4,0000
1C5,0000,1C6,0100,1C5,0000,7FF,05B2,0000,084,0100,1C5,0000
1C6,0000,1C7,0100,1C6,0000,7FF,05B2,0000,084,0100,1C6,0000
1C7,0000,1C8,0100,1C7,0000,7FF,05B2,0000,084,0100,1C7,0000
1C8,0000,1C9,0100,1C8,0000,7FF,05B2,0000,084,0100,1C8,0000
1C9,0000,1CA,0100,1C9,0000,7FF,05B2,0000,084,0100,1C9,0000
1CA,0000,1CB,0100,1CA,0000,7FF,05B2,0000,084,0100,1CA,0000
1CB,0000,1CC,0100,1CB,0000,7FF,05B2,0000,084,0100,1CB,0000
1CC,0000,1CD,0100,1CC,0000,7FF,05B2,0000,084,0100,1CC,0000
1CD,0000,1CE,0100,1CD,0000,7FF,05B2,0000,084,0100,1CD,0000
1CE,0000,1CF,0100,1CE,0000,7FF,05B2,0000,084,0100,1CE,0000
1CF,0000,1D0,0100,1CF,0000,7FF,05B2,0000,084,0100,1CF,0000
1D0,0000,1D1,0100,1D0,0000,7FF,05B2,0000,084,0100,1D0,0000
1D1,0000,1D2,0100,1D1,0000,7FF,05B2,0000,084,0100,1D1,0000
1D2,0000,1D3,0100,1D2,0000,7FF,05B2,0000,084,0100,1D2,0000
1D3,0000,1D4,0100,1D3,0000,7FF,05B2,0000,084,0100,1D3,0000
1D4,0000,1D5,0100,1D4,0000,7FF,05B2,0000,084,0100,1D4,0000
1D5,0000,1D6,0100,1D5,0000,7FF,05B2,0000,084,0100,1D5,0000
1D6,0000,1D7,0100,1D6,0000,7FF,05B2,0000,084,0100,1D6,0000
1D7,0000,1D8,0100,1D7,0000,7FF,05B2,0000,084,0100,1D7,0000
1D8,0000,1D9,0100,1D8,0000,7FF,05B2,0000,084,0100,1D8,0000
1D9,0000,1DA,0100,1D9,0000,7FF,05B2,0000,084,0100,1D9,0000
1DA,0000,1DB,0100,1DA,0000,7FF,05B2,0000,084,0100,1DA,0000
1DB,0000,1DC,0100,1DB,0000,7FF,05B2,0000,084,0100,1DB,0000
1DC,0000,1DD,0100,1DC,0000,7FF,05B2,0000,084,0100,1DC,0000
1DD,0000,1DE,0100,1DD,0000,7FF,05B2,0000,084,0100,1DD,0000
1DE,0000,1DF,0100,1DE,0000,7FF,05B2,0000,084,0100,1DE,0000
1DF,0000,1E0,0100,1DF,0000,7FF,05B2,0000,084,0100,1DF,0000
1E0,0000,1E1,0100,1E0,0000,7FF,05B2,0000,084,0100,1E0,0000
1E1,0000,1E2,0100,1E1,0000,7FF,05B2,0000,084,0100,1E1,0000
1E2,0000,1E3,0100,1E2,0000,7FF,05B2,0000,084,0100,1E2,0000
1E3,0000,1E4,0100,1E3,0000,7FF,05B2,0000,084,0100,1E3,0000
1E4,0000,1E5,0100,1E4,0000,7FF,05B2,0000,084,0100,1E4,0000
1E5,0000,1E6,0100,1E5,0000,7FF,05B2,0000,084,0100,1E5,0000
1E6,0000,1E7,0100,1E6,0000,7FF,05B2,0000,084,0100,1E6,0000
1E7,0000,1E8,0100,1E7,0000,7FF,05B2,0000,084,0100,1E7,0000
1E8,0000,1E9,0100,1E8,0000,7FF,05B2,0000,084,0100,1E8,0000
1E9,0000,1EA,0100,1E9,0000,7FF,05B2,0000,084,0100,1E9,0000
1EA,0000,1EB,0100,1EA,0000,7FF,05B2,0000,084,0100,1EA,0000
1EB,0000,1EC,0100,1EB,0000,7FF,05B2,0000,084,0100,1EB,0000
1EC,0000,1ED,0100,1EC,0000,7FF,05B2,0000,084,0100,1EC,0000
1ED,0000,1EE,0100,1ED,0000,7FF,05B2,0000,084,0100,1ED,0000
1EE,0000,1EF,0100,1EE,0000,7FF,05B2,0000,084,0100,1EE,0000
